type	latitude	longitude	altitude (m)	name	desc
T	-37.839476726	144.971194774	8.8		
T	-37.839562136	144.971249723	9.6		
T	-37.839658274	144.971304214	10.4		
T	-37.839771568	144.971351327	10.1		
T	-37.839894561	144.971391528	7.9		
T	-37.840109128	144.971446896	4.2		
T	-37.840644198	144.971573016	4.4		
T	-37.841249469	144.971708960	12.2		
T	-37.841343818	144.971726558	12.6		
T	-37.841408352	144.971733566	12.9		
T	-37.841492280	144.971732785	13.5		
T	-37.841567508	144.971727999	14.0		
T	-37.841633740	144.971719782	14.4		
T	-37.841701756	144.971703276	14.4		
T	-37.841780557	144.971678440	14.1		
T	-37.841861044	144.971645745	13.8		
T	-37.841945887	144.971599205	12.8		
T	-37.842020693	144.971547189	10.5		
T	-37.842100586	144.971485413	7.9		
T	-37.842175816	144.971410812	5.2		
T	-37.842375319	144.971216637	-0.5		
T	-37.842413148	144.971179181	-1.1		
T	-37.842448567	144.971147454	-1.6		
T	-37.842490383	144.971110087	-1.9		
T	-37.842524379	144.971082396	0.0		
T	-37.842560414	144.971057762	2.1		
T	-37.842591043	144.971037630	3.6		
T	-37.842631606	144.971010914	5.4		
T	-37.842677539	144.970983237	7.0		
T	-37.842703036	144.970969979	7.7		
T	-37.842739438	144.970954193	8.5		
T	-37.842789458	144.970931923	9.3		
T	-37.842855319	144.970910068	9.4		
T	-37.842921741	144.970891985	9.5		
T	-37.843481046	144.970758795	11.2		
T	-37.843880128	144.970664877	9.4		
T	-37.844155064	144.970601315	9.2		
T	-37.844245394	144.970582601	9.1		
T	-37.844305274	144.970570890	9.1		
T	-37.844403214	144.970556321	9.0		
T	-37.844520156	144.970544892	9.0		
T	-37.844664884	144.970536138	9.0		
T	-37.844791882	144.970537909	9.2		
T	-37.844948010	144.970541906	9.8		
T	-37.845090162	144.970560910	9.9		
T	-37.845255920	144.970587436	8.9		
T	-37.845433400	144.970628813	8.0		
T	-37.845703161	144.970715692	10.6		
T	-37.845914748	144.970802664	14.4		
T	-37.846130942	144.970918061	14.8		
T	-37.846290491	144.971015837	11.6		
T	-37.846452748	144.971129116	9.4		
T	-37.846644561	144.971285936	6.3		
T	-37.846878342	144.971511321	5.3		
T	-37.847067356	144.971730911	6.3		
T	-37.847235802	144.971952067	7.1		
T	-37.847727069	144.972661359	12.6		
T	-37.847963122	144.973005640	10.5		
T	-37.848096231	144.973193743	9.3		
T	-37.848123410	144.973245723	8.7		
T	-37.848147795	144.973301834	8.0		
T	-37.848164523	144.973352056	7.5		
T	-37.848178771	144.973406843	7.4		
T	-37.848188201	144.973468107	7.3		
T	-37.848191284	144.973531876	7.4		
T	-37.848189414	144.973598410	7.6		
T	-37.848153517	144.973966511	9.7		
T	-37.848098522	144.974588412	12.3		
T	-37.848082124	144.974729196	13.4		
T	-37.848079396	144.974758873	13.6		
T	-37.848081092	144.974777371	13.7		
T	-37.848085345	144.974791344	13.8		
T	-37.848092174	144.974802095	13.9		
T	-37.848101962	144.974815663	14.1		
T	-37.848288545	144.975083590	13.5		
T	-37.848406092	144.975257366	10.3		
T	-37.848631563	144.975582938	14.3		
T	-37.848854989	144.975904900	15.4		
T	-37.849360692	144.976638175	10.3		
T	-37.849511407	144.976855745	10.7		
T	-37.849554826	144.976915003	10.6		
T	-37.849615660	144.976989545	10.8		
T	-37.849686074	144.977069233	11.1		
T	-37.849778665	144.977163597	10.8		
T	-37.849843206	144.977221713	10.3		
T	-37.849945893	144.977306838	9.7		
T	-37.850070410	144.977396299	9.5		
T	-37.850126360	144.977434071	9.5		
T	-37.850227520	144.977493383	9.3		
T	-37.850320149	144.977541445	9.6		
T	-37.850410713	144.977586433	9.9		
T	-37.850474387	144.977615093	10.1		
T	-37.850530980	144.977638629	10.1		
T	-37.850774368	144.977729630	9.5		
T	-37.851156076	144.977865593	6.6		
T	-37.851694694	144.978061460	11.9		
T	-37.852358084	144.978297774	5.4		
T	-37.852406766	144.978317943	5.1		
T	-37.852627351	144.978393451	6.4		
T	-37.852934295	144.978482228	7.5		
T	-37.852945656	144.978483869	7.5		
T	-37.852980818	144.978486565	7.5		
T	-37.853003630	144.978486681	7.5		
T	-37.853023477	144.978482524	7.5		
T	-37.853044911	144.978473452	7.5		
T	-37.853062951	144.978464049	7.5		
T	-37.853083584	144.978448764	7.5		
T	-37.853096912	144.978434540	7.5		
T	-37.853116768	144.978413045	7.6		
T	-37.853132716	144.978394825	7.7		
T	-37.853146484	144.978375848	7.7		
T	-37.853159672	144.978345281	7.9		
T	-37.853228600	144.978121676	11.9		
T	-37.853485065	144.977293602	11.3		
T	-37.853724236	144.976525172	8.9		
T	-37.853785352	144.976330774	7.4		
T	-37.853824271	144.976200058	6.9		
T	-37.853840190	144.976140457	6.5		
T	-37.853846625	144.976088214	6.4		
T	-37.853851198	144.976032157	6.7		
T	-37.853854428	144.975988501	6.9		
T	-37.853852167	144.975921305	7.2		
T	-37.853848930	144.975889260	7.4		
T	-37.853836364	144.975832300	8.0		
T	-37.853826946	144.975786239	8.5		
T	-37.853817090	144.975748257	8.9		
T	-37.853804790	144.975708122	9.4		
T	-37.853782394	144.975651143	10.2		
T	-37.853767421	144.975621541	10.7		
T	-37.853753575	144.975595618	11.1		
T	-37.853736207	144.975567882	11.7		
T	-37.853722517	144.975545816	12.0		
T	-37.853703535	144.975516586	12.4		
T	-37.853686157	144.975489741	12.7		
T	-37.853667015	144.975466852	13.1		
T	-37.853625990	144.975427036	13.8		
T	-37.853586032	144.975392734	14.0		
