type	latitude	longitude	altitude (m)	name	desc
T	51.210804606	-1.590448293	89.5		
T	51.210507737	-1.590552220	88.8		
T	51.210330957	-1.590639935	88.2		
T	51.210138753	-1.590778999	88.0		
T	51.209352306	-1.591414109	85.8		
T	51.208845063	-1.591898912	84.7		
T	51.208551549	-1.592189875	84.0		
T	51.208437827	-1.592324366	84.1		
T	51.208163962	-1.592708974	83.4		
T	51.208066778	-1.592882353	83.4		
T	51.208019781	-1.592986996	83.6		
T	51.207983994	-1.593084216	83.7		
T	51.207951952	-1.593188244	83.6		
T	51.207836494	-1.593654044	83.2		
T	51.207789397	-1.593874054	83.0		
T	51.207761416	-1.594076038	82.9		
T	51.207743885	-1.594314520	82.9		
T	51.207737065	-1.594527073	82.9		
T	51.207751450	-1.594842319	82.9		
T	51.207768946	-1.595074676	83.0		
T	51.207781424	-1.595364500	83.0		
T	51.207788578	-1.595587096	83.0		
T	51.207797023	-1.596100659	83.1		
T	51.207794941	-1.596444798	83.1		
T	51.207783272	-1.596915711	83.0		
T	51.207757646	-1.597499535	83.0		
T	51.207729100	-1.597995867	83.0		
T	51.207703573	-1.598315531	83.7		
T	51.207676405	-1.598576603	83.1		
T	51.207642576	-1.598876580	83.5		
T	51.207579185	-1.599336673	83.3		
T	51.207481632	-1.599935264	84.0		
T	51.207394214	-1.600406444	84.3		
T	51.207350298	-1.600624140	84.6		
T	51.207256530	-1.601042259	85.1		
T	51.207070140	-1.601821082	87.3		
T	51.206964776	-1.602205971	88.0		
T	51.206861742	-1.602539566	89.1		
T	51.206658658	-1.603086597	90.1		
T	51.206400761	-1.603705166	91.3		
T	51.206209190	-1.604178933	92.0		
T	51.206133734	-1.604392917	92.1		
T	51.206086290	-1.604545921	92.4		
T	51.206044378	-1.604726853	92.8		
T	51.206017388	-1.604874265	93.2		
T	51.205999162	-1.605009891	93.6		
T	51.205979040	-1.605196175	93.9		
T	51.205973513	-1.605342117	94.1		
T	51.205978745	-1.605544756	94.5		
T	51.205986058	-1.605673331	95.0		
T	51.205995841	-1.605771727	95.4		
T	51.206006364	-1.605844417	95.6		
T	51.206013065	-1.605887609	95.6		
T	51.206019656	-1.605927870	95.7		
T	51.206032126	-1.605971291	95.7		
T	51.206048030	-1.606005688	95.8		
T	51.206069856	-1.606037251	95.9		
T	51.206091341	-1.606060290	95.9		
T	51.206125759	-1.606097661	96.0		
T	51.206241031	-1.606216101	96.2		
T	51.206300644	-1.606285589	96.4		
T	51.206327792	-1.606328332	96.6		
T	51.206342726	-1.606371294	96.8		
T	51.206354324	-1.606451552	96.9		
T	51.206353917	-1.606507654	96.9		
T	51.206346693	-1.606546849	96.9		
T	51.206325498	-1.606615724	97.0		
T	51.206279373	-1.606730627	97.0		
T	51.206261661	-1.606790503	97.0		
T	51.206250817	-1.606838332	97.0		
T	51.206246615	-1.606880305	97.0		
T	51.206245475	-1.606920962	97.0		
T	51.206246797	-1.606962992	97.0		
T	51.206250267	-1.606997527	97.1		
T	51.206258485	-1.607037723	97.2		
T	51.206267652	-1.607072844	97.3		
T	51.206279763	-1.607111864	97.4		
T	51.206349555	-1.607261175	97.9		
T	51.206445713	-1.607445890	98.0		
T	51.206536968	-1.607601469	98.0		
T	51.206689226	-1.607830039	97.7		
T	51.206828263	-1.608025674	97.8		
T	51.206970457	-1.608203928	98.0		
T	51.207093565	-1.608338523	98.0		
T	51.207262507	-1.608510514	97.3		
T	51.207437895	-1.608680083	97.0		
T	51.207537503	-1.608772247	97.0		
T	51.207632414	-1.608849588	97.0		
T	51.207677953	-1.608884281	97.0		
T	51.207692860	-1.608896826	97.0		
